ID,T1,Year,D1,D2,D3,D4,D5,D6,D7
55,chen2019fw,2019,1,1,5,3,3,1,9
56,singhal2021juicy,2021,1,14,4,1,5,1,9
56,singhal2021juicy,2021,11,14,4,1,5,1,9
57,quek2015sensory,2015,15,13,5,2,1,1,2
58,han2017frictio,2017,13,21,6,1,2,1,8
59,culbertson2017waves,2017,13,14,4,3,3,1,4
60,tong2017magnetic,2018,1,13,2,2,1,2,1
61,zarate2020contact,2020,15,13,2,2,1,2,9
62,foo2019iterative,2019,13,14,5,3,3,2,1
63,delazio2018force,2018,13,14,4,3,3,1,1
63,delazio2018force,2018,13,14,5,3,3,1,1
64,zhu2020pneusleeve,2020,13,14,4,3,3,1,1
64,zhu2020pneusleeve,2020,13,14,5,3,3,1,1
65,muthukumarana2020touch,2020,13,14,4,3,3,2,1
65,muthukumarana2020touch,2020,13,14,5,3,3,2,1
66,han2018hydroring,2018,15,20,4,3,3,2,10
66,han2018hydroring,2018,15,20,4,3,3,1,10
66,han2018hydroring,2018,15,20,5,3,3,2,10
66,han2018hydroring,2018,15,20,5,3,3,1,10
67,han2020hapbead,2020,15,20,4,3,3,2,10
67,han2020hapbead,2020,15,20,4,3,3,1,10
68,hamdan2019springlets,2019,13,14,5,3,3,2,5
68,hamdan2019springlets,2019,13,14,5,3,3,2,1
69,ion2015skin,2015,13,14,5,3,3,1,2
70,tseng2020skin,2020,13,14,7,3,3,1,1
71,je2018pokering,2018,13,14,5,3,3,2,1
72,pece2017magtics,2017,13,14,5,3,3,2,1
73,gallo2015flexible,2015,1,20,1,3,3,2,1
73,gallo2015flexible,2015,6,20,1,3,3,2,1
74,phung2015tactile,2015,15,20,4,1,3,2,10
74,phung2015tactile,2015,15,20,5,1,3,2,10
75,marette2017flexible,2017,15,20,2,1,3,2,1
76,chen2019development,2019,15,20,2,1,5,2,9
77,vazquez20153d,2015,10,17,1,1,5,1,9
78,chang2020kirigami,2020,10,17,1,1,5,3,5
79,kato2018double,2018,3,1,7,3,3,2,10
80,zheng2019mechamagnets,2019,10,17,1,1,5,3,5
81,ogata2015fluxpaper,2015,10,17,1,1,5,3,9
82,yasu2019magnetact,2019,10,17,1,1,5,3,5
83,ogata2018magneto,2018,10,17,1,1,5,3,1
84,yasu2017magnetic,2017,10,17,1,1,5,3,9
85,yasu2020magnelayer,2020,10,17,1,1,5,3,1
86,mcintosh2019magnetips,2019,13,20,6,3,2,2,10
87,wei2020elastilinks,2020,11,9,1,2,1,1,3
87,wei2020elastilinks,2020,11,9,1,2,5,1,3
87,wei2020elastilinks,2020,11,9,1,2,2,1,3
87,wei2020elastilinks,2020,11,9,1,2,1,1,2
87,wei2020elastilinks,2020,11,9,1,2,5,1,2
87,wei2020elastilinks,2020,11,9,1,2,2,1,2
87,wei2020elastilinks,2020,11,10,1,2,1,1,3
87,wei2020elastilinks,2020,11,10,1,2,5,1,3
87,wei2020elastilinks,2020,11,10,1,2,2,1,3
87,wei2020elastilinks,2020,11,10,1,2,1,1,2
87,wei2020elastilinks,2020,11,10,1,2,5,1,2
87,wei2020elastilinks,2020,11,10,1,2,2,1,2
88,chu2021motionring,2021,12,9,4,3,3,1,1
89,dementyev2021vhp,2021,3,19,4,3,3,1,1
90,ganet2015haptic,2015,15,19,4,4,6,2,1
91,kovacs2020haptic,2020,12,6,1,1,2,1,9
91,kovacs2020haptic,2020,12,21,1,1,2,1,9
91,kovacs2020haptic,2020,12,2,1,1,2,1,9
91,kovacs2020haptic,2020,5,6,1,1,2,1,9
91,kovacs2020haptic,2020,5,21,1,1,2,1,9
91,kovacs2020haptic,2020,5,2,1,1,2,1,9
92,klamka2018pushables,2018,10,3,1,1,5,3,9
93,preechayasomboon2020chasm,2020,13,3,4,2,5,2,2
93,preechayasomboon2020chasm,2020,13,3,5,2,5,2,2
94,rietzler2017vair,2017,16,14,7,3,3,1,1
95,wang2020miniature,2020,16,21,2,1,1,1,10
96,makino2016haptoclone,2016,13,4,4,1,1,1,9
97,korres2016haptogram,2016,6,12,4,1,1,1,9
98,freeman2019enhancing,2019,16,12,7,1,1,1,9
99,pittera2019creating,2019,13,14,4,1,1,1,9
100,ito2019midair,2019,10,3,4,1,1,1,9
101,barreiro2019ultrasound,2019,16,17,2,1,1,1,9
102,ablart2019using,2019,13,14,2,1,1,1,9
103,sra2019adding,2019,12,14,7,3,3,6,9
104,boldu2019m,2019,12,14,7,1,6,1,9
105,lopes2015impacto,2015,12,14,5,3,3,5,9
105,lopes2015impacto,2015,12,14,6,3,3,5,9
106,lopes2017providing,2017,8,14,7,3,3,5,9
107,spiers2016design,2017,13,17,1,1,5,1,9
108,siu2020virtual,2020,6,13,6,2,5,1,8
109,jang2016haptic,2016,13,17,2,1,5,2,1
110,ryu2020elastick,2020,9,11,1,2,5,1,3
111,tiwari2018highly,2018,3,17,2,1,5,2,1
112,park2019soft,2020,15,20,2,4,6,2,9
113,barreiros2018fluidic,2019,6,17,1,1,6,2,5
114,mohiuddin2015flexible,2015,15,20,4,4,6,2,9
115,yoon2019hapsense,2019,15,20,4,4,6,2,9
116,jun2018electroactive,2018,3,1,2,1,6,2,9
117,huppert2021guidecopter,2021,13,19,6,3,4,1,9
118,zhao2020wearable,2020,15,20,5,3,3,2,1
119,roy2017electroionic,2017,15,20,2,4,6,2,9
120,kanik2019strain,2019,15,20,2,4,6,2,9
121,kim2015high,2015,15,20,2,4,6,2,9
122,wang2016soft,2016,15,20,5,4,6,2,9
123,carpenter2019healable,2019,15,20,6,3,2,2,9
124,besse2017flexible,2017,15,20,5,3,3,2,1
125,hwang2017design,2017,15,20,5,3,3,2,10
126,shultz2015surface,2015,15,20,1,4,6,2,9
127,gong2018jetto,2018,13,14,5,3,3,1,9
128,pinskier2018development,2018,15,20,6,2,1,2,2
129,najmaei2015design,2016,15,20,6,2,1,2,2
130,rizzo2015displaying,2015,16,20,2,4,6,2,9
131,nakagaki2016materiable,2016,6,17,2,1,1,1,1
131,nakagaki2016materiable,2016,1,17,2,1,1,1,1
132,strohmeier2017generating,2017,3,1,4,1,6,1,9
133,sahoo2016tablehop,2016,3,1,2,1,1,2,1
134,strohmeier2016reflex,2016,11,21,1,1,5,1,9
135,mazursky2020compact,2020,15,20,5,4,6,2,9
136,mintchev2019portable,2019,15,21,6,2,5,1,2
137,yu2019skin,2019,15,20,4,3,3,2,1
138,badshah2012gyrotab,2012,13,14,6,2,5,4,10
138.1,benko2016normaltouch,2016,6,4,2,1,5,1,2
138.2,benko2016normaltouch,2016,6,4,2,1,5,1,1
138.2,benko2016normaltouch,2016,3,4,2,1,5,1,1
139,wilson2014perception,2014,13,14,4,1,1,1,9
140,portolesdiez2021novel,2021,1,1,4,2,1,1,9
140,portolesdiez2021novel,2021,1,1,6,2,1,1,9
140,portolesdiez2021novel,2021,2,1,5,2,1,1,9
140,portolesdiez2021novel,2021,2,1,6,2,1,1,9
141,wang2020position,2020,1,3,6,2,1,1,2
142,macgavin2021protactile,2021,13,14,4,3,3,1,1
142,macgavin2021protactile,2021,13,14,5,3,3,1,1
